from	to	pct	comp_1	comp_2	comp_3
M1	M11	0	-1.3368608072668857	-3.5135573404917344	0.9908370389026531
M1	M11	0.1	-0.6560709969701751	-3.2786327266026842	0.9078037174365087
M1	M11	0.2	0.02471881332653525	-3.0437081127136336	0.8247703959703645
M1	M11	0.30000000000000004	0.7055086236232463	-2.808783498824583	0.74173707450422
M1	M11	0.4	1.3862984339199564	-2.573858884935533	0.6587037530380758
M1	M11	0.5	2.067088244216667	-2.338934271046482	0.5756704315719314
M1	M11	0.6000000000000001	2.7478780545133783	-2.1040096571574316	0.4926371101057871
M1	M11	0.7000000000000001	3.4286678648100883	-1.8690850432683814	0.40960378863964275
M1	M11	0.8	4.109457675106799	-1.6341604293793308	0.32657046717349847
M1	M11	0.9	4.790247485403509	-1.3992358154902806	0.24353714570735413
M1	M11	1	5.47103729570022	-1.1643112016012303	0.16050382424120985
M11	M12	0	5.47103729570022	-1.1643112016012303	0.16050382424120985
M11	M12	0.1	5.487085653281988	-1.1533464704932601	0.1552345344038825
M11	M12	0.2	5.503134010863757	-1.1423817393852898	0.14996524456655513
M11	M12	0.30000000000000004	5.5191823684455255	-1.1314170082773196	0.14469595472922775
M11	M12	0.4	5.535230726027295	-1.1204522771693495	0.1394266648919004
M11	M12	0.5	5.551279083609063	-1.1094875460613793	0.13415737505457304
M11	M12	0.6000000000000001	5.567327441190832	-1.098522814953409	0.12888808521724565
M11	M12	0.7000000000000001	5.5833757987726	-1.0875580838454388	0.12361879537991831
M11	M12	0.8	5.5994241563543685	-1.0765933527374687	0.11834950554259094
M11	M12	0.9	5.615472513936138	-1.0656286216294983	0.11308021570526358
M11	M12	1	5.631520871517906	-1.0546638905215282	0.10781092586793622
M12	M2	0	5.631520871517906	-1.0546638905215282	0.10781092586793622
M12	M2	0.1	5.777280831845233	-1.0265104217712815	-0.26382196860868595
M12	M2	0.2	5.92304079217256	-0.9983569530210349	-0.6354548630853082
M12	M2	0.30000000000000004	6.068800752499886	-0.970203484270788	-1.0070877575619304
M12	M2	0.4	6.214560712827212	-0.9420500155205414	-1.3787206520385527
M12	M2	0.5	6.360320673154538	-0.9138965467702946	-1.7503535465151745
M12	M2	0.6000000000000001	6.506080633481865	-0.8857430780200479	-2.121986440991797
M12	M2	0.7000000000000001	6.651840593809192	-0.8575896092698012	-2.493619335468419
M12	M2	0.8	6.797600554136518	-0.8294361405195545	-2.865252229945041
M12	M2	0.9	6.943360514463844	-0.8012826717693077	-3.236885124421663
M12	M2	1	7.089120474791171	-0.773129203019061	-3.6085180188982853
M2	M6	0	7.089120474791171	-0.773129203019061	-3.6085180188982853
M2	M6	0.1	7.106138968166373	-0.7577112750431051	-3.6310357915286158
M2	M6	0.2	7.1231574615415765	-0.7422933470671493	-3.6535535641589467
M2	M6	0.30000000000000004	7.140175954916778	-0.7268754190911934	-3.6760713367892768
M2	M6	0.4	7.157194448291981	-0.7114574911152375	-3.6985891094196077
M2	M6	0.5	7.174212941667183	-0.6960395631392816	-3.7211068820499382
M2	M6	0.6000000000000001	7.191231435042386	-0.6806216351633257	-3.7436246546802687
M2	M6	0.7000000000000001	7.2082499284175885	-0.6652037071873699	-3.7661424273105992
M2	M6	0.8	7.22526842179279	-0.649785779211414	-3.7886601999409297
M2	M6	0.9	7.242286915167993	-0.6343678512354581	-3.8111779725712607
M2	M6	1	7.259305408543195	-0.6189499232595023	-3.833695745201591
M2	M7	0	7.089120474791171	-0.773129203019061	-3.6085180188982853
M2	M7	0.1	7.093231053135418	-0.8121170625496712	-3.702252433552804
M2	M7	0.2	7.097341631479667	-0.8511049220802815	-3.7959868482073227
M2	M7	0.30000000000000004	7.101452209823913	-0.8900927816108917	-3.8897212628618405
M2	M7	0.4	7.105562788168161	-0.9290806411415018	-3.983455677516359
M2	M7	0.5	7.109673366512408	-0.9680685006721121	-4.077190092170878
M2	M7	0.6000000000000001	7.113783944856655	-1.0070563602027223	-4.170924506825396
M2	M7	0.7000000000000001	7.117894523200903	-1.0460442197333326	-4.264658921479914
M2	M7	0.8	7.12200510154515	-1.0850320792639427	-4.358393336134434
M2	M7	0.9	7.126115679889398	-1.124019938794553	-4.452127750788952
M2	M7	1	7.130226258233645	-1.1630077983251632	-4.54586216544347
M12	M9	0	5.631520871517906	-1.0546638905215282	0.10781092586793622
M12	M9	0.1	6.062596742032525	-0.6589336712993652	0.3927112381733686
M12	M9	0.2	6.493672612547145	-0.2632034520772021	0.677611550478801
M12	M9	0.30000000000000004	6.924748483061763	0.13252676714496125	0.9625118627842335
M12	M9	0.4	7.355824353576382	0.5282569863671243	1.2474121750896656
M12	M9	0.5	7.786900224091001	0.9239872055892873	1.5323124873950982
M12	M9	0.6000000000000001	8.21797609460562	1.3197174248114507	1.8172127997005307
M12	M9	0.7000000000000001	8.649051965120238	1.715447644033614	2.1021131120059633
M12	M9	0.8	9.080127835634858	2.1111778632557767	2.3870134243113954
M12	M9	0.9	9.511203706149477	2.5069080824779397	2.6719137366168275
M12	M9	1	9.942279576664095	2.9026383017001027	2.95681404892226
M11	M8	0	5.47103729570022	-1.1643112016012303	0.16050382424120985
M11	M8	0.1	5.474090374446861	-1.1666289740771125	0.16481481536440645
M11	M8	0.2	5.477143453193504	-1.1689467465529948	0.16912580648760311
M11	M8	0.30000000000000004	5.4801965319401456	-1.171264519028877	0.17343679761079972
M11	M8	0.4	5.483249610686787	-1.1735822915047591	0.17774778873399633
M11	M8	0.5	5.48630268943343	-1.1759000639806414	0.18205877985719293
M11	M8	0.6000000000000001	5.489355768180071	-1.1782178364565237	0.18636977098038957
M11	M8	0.7000000000000001	5.492408846926713	-1.180535608932406	0.1906807621035862
M11	M8	0.8	5.4954619256733555	-1.182853381408288	0.1949917532267828
M11	M8	0.9	5.498515004419997	-1.1851711538841703	0.19930274434997944
M11	M8	1	5.501568083166639	-1.1874889263600525	0.20361373547317604
M1	M5	0	-1.3368608072668857	-3.5135573404917344	0.9908370389026531
M1	M5	0.1	-1.4754826175718616	-3.494537702916084	1.0031537618812298
M1	M5	0.2	-1.6141044278768377	-3.475518065340433	1.0154704848598068
M1	M5	0.30000000000000004	-1.7527262381818134	-3.456498427764782	1.0277872078383834
M1	M5	0.4	-1.8913480484867893	-3.4374787901891315	1.0401039308169604
M1	M5	0.5	-2.029969858791765	-3.4184591526134804	1.0524206537955372
M1	M5	0.6000000000000001	-2.1685916690967413	-3.3994395150378294	1.064737376774114
M1	M5	0.7000000000000001	-2.307213479401717	-3.380419877462179	1.077054099752691
M1	M5	0.8	-2.445835289706693	-3.361400239886528	1.0893708227312677
M1	M5	0.9	-2.5844571000116687	-3.342380602310877	1.1016875457098445
M1	M5	1	-2.723078910316645	-3.3233609647352265	1.1140042686884213
M5	M10	0	-2.723078910316645	-3.3233609647352265	1.1140042686884213
M5	M10	0.1	-3.4270982941924957	-2.578305564781007	0.915237160653516
M5	M10	0.2	-4.131117678068346	-1.8332501648267878	0.7164700526186105
M5	M10	0.30000000000000004	-4.835137061944197	-1.0881947648725678	0.517702944583705
M5	M10	0.4	-5.539156445820049	-0.3431393649183483	0.31893583654879964
M5	M10	0.5	-6.243175829695899	0.4019160350358708	0.12016872851389432
M5	M10	0.6000000000000001	-6.947195213571749	1.1469714349900908	-0.07859837952101123
M5	M10	0.7000000000000001	-7.651214597447601	1.8920268349443101	-0.2773654875559166
M5	M10	0.8	-8.355233981323451	2.6370822348985294	-0.476132595590822
